ID,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
1377,Raymond Flowers,17,Male,Lake Kristybury,11th,1.4,4.9,94,10,0.2,7,10,3,1,1.0,61,11,4.0,0.1,1.6,Social Media,5,3.2,6.5
1378,Nathan Rivera,13,Female,Kathleenland,7th,8.5,5.0,53,4,0.0,9,1,9,0,1.2,127,16,2.8,2.0,0.0,Education,5,5.7,10.0
1379,Joseph Orr,19,Male,Joshuaberg,10th,3.0,4.8,98,3,1.4,4,10,9,0,0.0,20,5,2.6,0.4,0.4,Gaming,10,9.3,5.0
1380,Nicholas Powell,14,Male,Lake Ashleyville,8th,4.8,6.5,51,1,0.7,9,2,3,0,1.4,146,16,2.0,3.0,1.5,Other,7,6.6,10.0
1381,Omar Cohen,19,Male,Lake Jesus,10th,3.3,6.8,90,4,1.0,6,5,2,0,1.1,36,9,0.9,0.8,0.4,Browsing,7,8.0,4.1
1382,Tammy Wood,15,Male,Barbaraberg,8th,4.8,4.9,91,0,3.0,4,10,10,0,1.3,71,8,3.9,2.9,0.8,Social Media,6,9.9,10.0
1383,David Hill,16,Female,East Amy,10th,2.1,7.8,66,7,0.0,5,4,3,0,0.3,48,14,0.7,2.4,1.6,Social Media,2,8.2,5.1
1384,Belinda Wilkerson,16,Female,Evanshaven,10th,6.0,7.1,55,2,0.0,9,9,10,0,0.5,134,20,1.5,2.2,0.0,Education,10,4.3,10.0
1385,Michelle Jacobson,18,Male,Lake Hannah,9th,6.9,6.9,91,7,0.0,3,10,6,0,0.7,130,18,3.5,0.5,0.3,Social Media,1,6.3,10.0
1386,Deborah Rice,17,Male,Dillonburgh,10th,7.1,5.3,51,7,1.8,2,9,5,1,0.9,148,10,2.0,0.9,1.6,Other,2,4.1,10.0
1387,Cassandra Hinton,14,Male,Woodmouth,9th,3.4,5.8,73,8,2.0,6,10,7,0,1.2,128,14,2.4,1.7,1.9,Browsing,4,7.8,10.0
1388,Jill Griffin,15,Other,Anthonystad,12th,10.1,6.2,93,6,0.9,1,2,4,1,1.3,133,20,1.5,2.1,1.2,Browsing,3,7.1,10.0
1389,Gregory Johnson,19,Female,North Samanthahaven,10th,2.6,6.0,77,0,1.3,10,4,10,1,1.2,94,15,1.4,1.9,1.9,Browsing,9,6.7,7.8
1390,Vanessa Hernandez,16,Male,Brownville,7th,5.3,8.7,91,2,2.2,6,7,8,1,1.1,146,15,2.3,2.5,1.0,Other,5,7.8,10.0
1391,Sophia Hawkins,13,Other,Mccoyburgh,11th,2.0,6.1,55,7,0.0,1,9,9,0,1.6,87,19,2.2,0.0,1.3,Browsing,4,7.1,6.7
1392,Robert Mccoy,18,Male,Emilyland,9th,5.8,6.3,95,7,1.9,1,5,1,0,1.8,123,18,2.8,2.1,0.1,Social Media,9,5.8,10.0
1393,Todd Nichols,17,Male,Port Brettborough,10th,3.3,9.1,66,9,0.0,1,1,8,0,0.8,27,6,2.5,1.6,1.8,Other,10,7.2,4.6
1394,Laura Burke,17,Other,Craigbury,12th,5.9,6.6,54,10,1.6,10,10,6,1,1.1,29,12,2.2,0.0,0.2,Gaming,5,3.5,7.8
1395,Nicole Lawrence,19,Male,West Kristafurt,8th,5.6,3.9,89,5,1.5,3,3,4,1,1.0,100,19,3.5,2.1,0.0,Education,5,7.5,10.0
1396,Jamie Costa,14,Male,Shannonside,9th,5.0,8.7,93,8,0.0,7,5,2,1,1.3,119,15,1.4,2.0,1.5,Education,3,5.3,9.4
1397,Taylor Mclaughlin,17,Other,Lake James,8th,4.4,5.3,55,2,1.5,3,5,7,1,0.9,120,12,2.0,2.1,1.5,Browsing,6,10.2,10.0
1398,Barry Rose,19,Male,Williamhaven,8th,1.8,4.7,87,1,0.3,2,5,10,1,0.6,24,14,2.2,0.0,0.0,Social Media,9,5.7,4.9
1399,John Thomas,15,Male,Lake Lynn,12th,9.4,4.1,72,8,0.4,10,8,1,0,1.2,109,12,1.4,2.7,1.3,Other,3,7.9,10.0
1400,Derrick Nguyen,14,Other,West Kaitlynview,8th,7.2,6.0,65,1,0.7,10,7,4,1,1.4,142,12,2.4,1.5,0.0,Education,10,4.9,10.0
1401,Katelyn Pollard,14,Male,Littleberg,9th,0.4,9.0,79,9,0.6,2,2,9,0,0.7,36,14,3.0,2.0,0.7,Education,7,8.5,4.4
1402,Michael Hill,17,Female,Sullivanchester,11th,2.3,5.6,60,6,0.7,2,5,4,0,1.0,149,18,0.8,1.8,0.4,Gaming,1,6.0,8.7
1403,Tara Washington,17,Female,Lake Michaelview,10th,6.0,5.4,62,6,1.1,6,6,1,1,1.1,79,20,2.1,0.6,1.2,Education,7,5.2,10.0
1404,Victor Hudson,13,Male,South Victor,12th,5.7,6.2,73,6,1.5,6,3,8,0,1.4,64,20,3.5,2.3,1.0,Other,8,7.4,10.0
1405,Stacey Cooper,17,Other,Johnsonland,12th,1.4,6.9,56,10,1.6,7,5,4,0,1.1,103,7,1.9,0.0,1.4,Education,3,3.3,3.3
1406,Robert Barnes,13,Male,Wendytown,10th,5.5,7.0,73,10,0.5,1,4,8,1,1.1,102,16,2.8,1.4,1.8,Other,9,2.5,10.0
1407,Kevin Thomas,19,Male,Carterland,12th,4.8,7.1,100,4,1.3,1,5,6,1,0.8,36,12,2.1,0.0,0.0,Education,3,5.1,6.5
1408,Stacey Paul,15,Female,Caseyborough,8th,6.2,7.8,57,5,1.3,9,6,5,1,0.6,75,16,2.9,0.0,0.4,Other,3,5.4,9.9
1409,Dean Jones,17,Other,Grahamtown,9th,4.7,5.9,56,4,0.7,6,4,8,1,0.8,73,5,2.1,2.5,0.9,Other,5,2.0,8.8
1410,Ian Mooney,19,Male,Port Kyle,8th,5.9,6.5,75,2,0.1,6,3,3,0,1.2,63,7,2.8,1.4,0.4,Other,6,8.0,9.5
1411,Kenneth Brown,16,Female,Bennettville,10th,7.3,6.0,96,4,1.2,4,9,7,1,1.6,118,18,1.6,2.1,1.0,Browsing,5,6.0,10.0
1412,Brandon Santiago,19,Female,Lake Huntermouth,11th,0.0,8.8,95,10,1.9,6,1,5,1,0.6,21,18,3.6,1.4,1.0,Browsing,4,6.2,4.6
1413,Rodney Jones,19,Other,Port Kathystad,10th,6.1,6.5,92,7,0.7,10,10,6,0,1.2,103,17,1.5,2.4,0.6,Browsing,9,3.7,10.0
1414,Jeffrey Lawrence PhD,19,Female,New Brianport,8th,5.0,4.3,58,6,1.3,10,3,6,0,0.1,55,12,1.5,4.0,2.0,Education,7,6.2,10.0
1415,Vanessa Bennett,17,Female,Washingtonside,9th,3.5,5.7,59,9,0.9,5,2,1,0,1.2,105,10,2.1,1.7,0.7,Gaming,9,6.6,8.5
1416,Melanie Morgan,16,Female,Catherineshire,8th,4.4,4.1,96,5,1.6,10,7,1,0,1.8,90,12,2.0,1.0,1.2,Education,4,4.8,9.6
1417,Samantha Brown,13,Other,East Sara,7th,5.1,6.2,84,3,1.0,7,5,2,1,0.2,22,18,2.2,2.3,0.9,Other,9,6.6,10.0
1418,David Brown,16,Male,Oconnorstad,11th,6.7,5.8,52,0,1.0,9,10,6,1,1.0,43,16,2.5,1.6,0.8,Other,9,5.5,10.0
1419,Whitney Sanchez,17,Female,West Danieltown,9th,8.9,7.2,87,9,1.4,3,2,5,1,1.4,21,7,2.6,1.3,0.8,Education,4,5.9,10.0
1420,Ashley Wagner,14,Other,New Steven,8th,3.9,8.8,80,3,0.1,10,3,1,1,0.8,81,20,3.2,1.5,1.7,Social Media,2,5.0,9.8
1421,Aaron Leon,19,Female,Bethton,9th,6.3,7.9,76,3,2.0,9,2,9,1,0.7,140,20,2.8,2.6,0.0,Gaming,9,8.4,10.0
1422,Christopher Preston,15,Male,North Maryhaven,12th,5.2,3.0,54,5,1.8,6,2,6,0,1.3,95,12,1.4,2.8,1.1,Browsing,2,8.9,10.0
1423,Mark Edwards,17,Male,Robinsonmouth,11th,1.6,5.8,79,4,2.0,4,9,6,1,0.9,126,6,3.1,0.1,0.0,Other,10,5.8,5.6
1424,Alicia Smith,15,Male,West Cynthiabury,8th,3.6,4.4,66,1,0.6,3,8,7,0,1.5,61,12,1.1,0.3,0.3,Gaming,2,7.6,6.4
1425,Valerie Briggs,19,Other,South Brett,11th,3.9,6.4,87,8,1.1,4,2,6,0,0.7,82,20,2.5,1.9,1.7,Gaming,2,3.0,10.0
1426,Wendy Clayton,14,Other,East April,9th,3.7,5.1,56,1,1.7,1,10,2,1,0.8,99,6,1.7,1.7,1.6,Other,4,7.6,7.7
1427,Katelyn Walker,15,Female,New Johnmouth,8th,6.4,5.7,50,10,0.3,5,10,4,1,0.8,117,18,3.1,2.8,2.0,Other,1,1.9,10.0
1428,Cynthia Gallagher,15,Other,Weberbury,10th,2.7,4.7,69,10,0.0,1,8,4,0,1.4,59,14,1.9,1.2,1.0,Gaming,9,5.3,7.4
1429,Darlene Pruitt,18,Female,Gaineshaven,7th,8.7,7.6,63,1,1.2,8,10,8,0,1.7,142,16,1.3,0.1,0.0,Social Media,1,5.4,10.0
1430,Kyle Berry,19,Female,East Natalieberg,8th,6.4,5.1,93,5,0.5,4,9,1,1,1.5,112,13,1.0,1.0,0.0,Other,10,7.4,10.0
1431,Cynthia Shaffer,16,Male,Lancestad,11th,6.7,9.9,54,1,0.9,9,10,10,1,0.8,43,17,2.9,1.0,0.0,Education,3,8.7,9.9
1432,Alfred Schmidt,14,Male,East Seantown,8th,8.0,5.0,60,7,0.7,4,2,10,1,0.7,127,6,1.9,2.2,0.6,Browsing,2,5.2,10.0
1433,Matthew Smith,16,Male,East Stephanieton,8th,6.1,4.9,50,6,1.0,3,3,9,1,1.1,25,6,2.4,1.6,0.0,Gaming,10,2.5,9.3
1434,Isaac Keller,17,Female,South Melissafurt,10th,5.4,3.0,76,0,1.7,9,8,8,1,0.9,58,8,1.2,3.1,0.0,Gaming,9,4.3,10.0
1435,John Smith,17,Other,West Courtney,9th,5.3,5.7,75,9,0.0,5,8,10,1,1.9,33,6,2.2,1.0,2.1,Gaming,9,7.5,7.5
1436,James Green DVM,19,Male,Mcintoshview,7th,7.2,6.1,59,7,1.7,6,5,8,1,1.5,88,14,2.2,3.1,0.4,Social Media,4,9.3,10.0
1437,Emily Meyer,16,Other,Jesseport,7th,4.1,6.8,92,10,2.5,5,8,10,0,1.3,24,7,2.1,1.2,0.8,Browsing,5,6.7,5.9
1438,Jaime Cisneros,18,Male,Lake Jessicamouth,8th,4.7,6.5,96,1,1.0,1,5,10,0,0.9,118,20,3.1,2.6,1.7,Browsing,3,6.6,10.0
1439,Melissa Kent,15,Other,Dalehaven,11th,3.0,7.7,71,1,0.5,9,10,3,0,1.0,21,20,2.9,1.8,0.0,Browsing,7,3.8,8.3
1440,Janice Fisher,17,Female,North Stevestad,12th,4.9,9.1,90,9,0.2,5,5,10,1,1.4,47,13,2.5,3.0,0.8,Browsing,6,5.4,9.4
1441,Robert Russo,18,Other,Markville,12th,5.6,7.8,53,0,1.2,8,5,1,0,0.5,65,9,3.5,1.4,0.3,Gaming,8,1.6,9.7
1442,Becky Newman,17,Male,New Joshua,7th,4.6,8.4,93,7,0.8,9,5,1,0,0.6,25,8,2.9,1.1,1.3,Education,4,4.6,6.5
1443,Joseph Stevenson,15,Other,New John,8th,5.4,7.5,94,7,0.5,3,10,2,1,0.3,57,13,1.7,1.0,1.2,Gaming,2,4.6,8.1
1444,Jessica Jackson,15,Male,Ericaborough,10th,7.0,5.7,90,10,0.4,8,10,7,0,1.2,117,7,5.0,0.1,2.2,Social Media,6,2.8,10.0
1445,Alicia Williams,16,Other,Lake Frank,11th,7.3,4.9,58,2,0.7,10,4,7,0,0.6,42,17,3.4,2.1,0.6,Gaming,1,4.7,10.0
1446,Christian Klein,14,Other,Mitchellshire,11th,7.4,6.2,69,8,0.7,9,6,3,0,1.6,75,14,3.1,0.3,0.8,Education,2,9.4,10.0
1447,Tara Martinez,18,Male,Guzmanshire,12th,4.5,8.6,57,4,0.0,2,9,7,1,0.9,109,12,4.3,1.9,0.8,Other,6,5.5,10.0
1448,Mary Jones,14,Female,Josephhaven,9th,2.6,6.5,51,3,0.9,4,8,2,1,1.4,28,15,2.8,1.7,1.8,Browsing,3,9.7,7.4
1449,Jesse Burch,13,Female,South Lorichester,10th,5.9,4.4,73,5,0.2,10,1,6,0,1.0,94,10,3.4,1.1,0.9,Browsing,4,8.9,10.0
1450,William Humphrey,19,Male,North Joy,10th,3.3,5.5,70,5,0.1,3,9,3,1,1.0,123,19,3.5,0.2,1.5,Gaming,2,6.8,10.0
1451,Stephanie Rose,13,Male,New Angelaview,12th,6.3,4.9,55,5,0.2,1,1,6,0,1.1,128,15,1.8,2.0,0.6,Browsing,5,3.8,10.0
1452,William Mendoza,13,Female,Mccannshire,7th,5.0,8.6,81,9,0.8,9,9,2,1,0.1,97,11,1.8,1.4,0.4,Other,10,4.7,8.0
1453,Alyssa Ramirez,15,Male,East Natasha,12th,0.3,6.5,90,4,1.4,5,9,9,0,0.0,81,15,1.8,2.5,1.3,Other,4,5.0,6.0
1454,Jacqueline Nichols,19,Female,Olsonshire,9th,7.4,4.9,75,7,1.0,5,7,5,1,0.9,141,6,2.5,3.1,0.4,Gaming,9,5.0,10.0
1455,Heather Smith DVM,13,Female,Brownton,11th,4.1,9.2,77,10,0.8,3,1,6,0,0.9,22,17,2.6,1.0,1.9,Gaming,2,1.0,6.9
1456,Nicholas Jones,19,Male,Gallowayland,9th,5.8,8.5,67,4,2.1,5,9,1,1,0.6,73,14,3.1,2.4,1.1,Browsing,1,2.8,10.0
1457,Jeffery Martinez,13,Other,West Russell,10th,6.7,5.6,83,10,1.3,10,4,7,0,1.4,107,7,2.4,1.3,0.8,Browsing,3,7.9,10.0
1458,Claudia Lynch,15,Female,Kathrynshire,12th,8.1,7.8,72,8,0.0,5,1,3,0,0.0,37,17,2.0,2.4,1.4,Other,10,8.1,10.0
1459,Kimberly Raymond,14,Female,South Theodore,7th,1.6,4.4,50,6,0.1,7,5,1,1,1.2,65,14,1.8,1.8,1.8,Social Media,9,3.8,7.1
1460,Frank Johns,17,Other,West Darrylside,10th,4.5,10.0,65,5,1.8,5,5,4,0,0.6,38,15,2.8,1.4,0.8,Browsing,5,10.1,7.5
1461,Mrs. Tonya Wilson MD,15,Male,Morsemouth,9th,6.3,8.1,79,5,0.9,4,10,6,0,0.8,95,17,2.4,1.7,0.2,Social Media,3,5.8,10.0
1462,Melissa Wilson,16,Female,Port Amandamouth,11th,8.2,6.5,74,6,0.4,2,4,6,0,1.1,20,15,4.6,0.2,0.3,Other,6,10.0,10.0
1463,Kimberly Cannon,14,Other,West Timothyberg,12th,3.9,3.3,64,5,1.4,2,9,5,0,1.4,86,16,2.3,2.0,0.9,Other,4,7.4,10.0
1464,Ryan Barnett,19,Male,Hannahside,10th,5.4,5.7,57,0,1.1,4,8,4,1,0.8,94,12,4.1,2.3,0.7,Other,2,8.5,10.0
1465,Jennifer Short,14,Female,New Raymond,9th,7.2,6.5,80,0,0.0,8,4,4,1,1.4,121,6,1.9,1.6,0.7,Other,5,9.5,10.0
1466,Justin Sutton,13,Female,North Lisa,7th,2.2,6.6,61,3,0.0,7,6,5,1,0.0,104,12,2.9,0.3,1.6,Gaming,3,10.1,6.6
1467,Kayla Lopez,17,Other,Lake Tracyland,10th,4.9,6.4,81,1,0.4,10,4,10,1,0.9,77,15,3.2,2.0,1.3,Browsing,2,4.7,10.0
1468,David Gonzales,16,Other,North Samantha,8th,3.5,4.6,52,6,3.0,9,3,4,1,1.6,96,8,3.3,1.3,0.0,Browsing,9,9.2,9.3
1469,Kristin Bolton,14,Female,New Tiffany,12th,7.1,3.0,87,8,1.6,7,1,3,1,1.4,79,12,3.1,1.6,0.6,Browsing,3,5.7,10.0
1470,Diana Smith,13,Other,West Danielside,9th,6.0,5.3,93,5,2.3,2,10,8,1,1.7,61,9,3.4,1.1,1.8,Browsing,2,6.6,10.0
1471,Diana Conner,15,Other,Bryantberg,12th,4.3,4.5,51,2,1.2,6,7,7,1,1.2,40,17,1.3,1.7,1.8,Browsing,7,5.2,9.2
1472,Brenda Holland,14,Other,Bowenshire,12th,4.9,3.4,68,7,1.1,1,10,7,1,0.9,86,20,1.0,0.0,0.7,Browsing,8,5.8,9.9
1473,Mark Williams,17,Female,West Timothystad,7th,5.3,7.8,71,1,1.8,7,5,2,1,1.1,37,19,3.0,1.6,1.1,Gaming,10,6.5,10.0
1474,Melissa Clark,16,Other,South Mariahmouth,10th,6.4,6.5,90,6,0.4,7,2,3,0,1.5,54,14,1.3,1.7,1.9,Education,2,3.9,10.0
1475,Mr. Thomas Rodriguez,18,Female,Dillonhaven,8th,6.5,8.7,96,0,1.1,9,4,1,1,1.2,24,7,1.2,0.2,1.9,Browsing,3,5.5,5.4
1476,Charles Navarro,19,Other,North Michael,11th,7.9,6.4,84,1,1.8,5,6,2,1,1.5,42,11,0.2,1.2,1.5,Gaming,2,6.1,9.1
1477,Stephanie Collins,18,Other,Reyesmouth,11th,3.7,5.7,50,3,1.3,3,8,1,1,0.8,104,10,3.0,1.7,1.2,Social Media,9,4.8,9.6
1478,Yvette Holland,13,Other,Whitefort,9th,4.9,6.6,56,9,1.8,2,7,5,0,1.0,53,7,2.0,0.0,0.5,Education,2,7.3,6.1
1479,Rhonda Roberts,13,Male,Lake Lisastad,8th,3.0,6.8,62,9,1.3,2,1,1,0,1.6,44,18,5.0,1.5,1.1,Education,4,6.3,10.0
1480,Michael Burch,17,Female,East Christopherville,9th,0.0,8.5,74,1,1.2,9,10,5,1,1.4,146,11,3.2,1.8,0.7,Education,3,7.9,5.9
1481,Michelle Reed,16,Female,Thomasside,12th,2.7,5.6,58,9,1.4,4,5,9,1,1.0,144,6,2.8,1.9,0.8,Education,10,4.9,8.7
1482,Kimberly Rubio,15,Other,West Kimberlyview,10th,7.0,7.5,77,8,1.8,2,6,5,1,1.4,129,11,2.9,1.4,0.5,Education,7,7.3,10.0
1483,Keith Pena,14,Other,West Joanna,11th,5.5,8.4,89,8,2.0,6,6,2,0,1.6,89,19,2.9,2.6,1.4,Browsing,7,5.7,10.0
1484,Michael Johnson,14,Female,Lopezville,9th,7.3,3.7,52,0,0.5,2,9,5,0,1.3,66,6,3.0,3.1,0.0,Browsing,2,5.5,10.0
1485,Darren Jones,13,Other,Lynchfort,7th,5.3,7.0,60,6,2.1,1,10,9,0,2.0,58,8,3.2,2.8,0.1,Other,6,9.3,10.0
1486,Kara Wood,13,Other,South Catherine,9th,5.7,4.5,90,6,1.3,8,2,4,1,1.3,61,12,2.2,0.7,0.9,Browsing,6,4.2,10.0
1487,Barbara Woods,17,Male,New April,9th,3.2,6.4,58,0,0.9,1,1,3,1,0.6,87,5,0.7,3.2,0.0,Gaming,2,5.0,6.6
1488,Steven Hall,19,Male,South Robertport,10th,3.9,8.0,76,4,3.4,9,10,3,0,0.9,63,9,2.4,0.1,1.5,Other,6,8.0,5.5
1489,Amanda Harris,19,Other,Port Josephchester,11th,6.9,7.2,98,4,0.9,4,5,3,1,0.9,63,10,2.1,1.4,0.9,Browsing,4,3.3,10.0
1490,Kristen Mitchell,17,Other,Lake Williamfort,11th,4.5,8.2,98,0,0.4,4,7,7,1,1.2,91,19,3.5,2.0,1.2,Education,1,5.0,10.0
1491,Debra Moore,16,Other,New Jefferybury,9th,3.9,7.1,52,7,0.9,3,4,7,1,0.7,65,8,2.0,2.5,0.9,Gaming,2,8.1,7.8
1492,Rhonda Edwards,15,Female,Jasonland,10th,7.0,4.2,58,10,1.2,9,5,10,1,2.0,60,5,3.1,2.0,1.4,Other,7,7.1,10.0
1493,Edward Barker,15,Other,Paynefort,10th,2.7,8.7,64,2,1.5,7,1,6,0,1.1,146,17,2.8,2.7,0.0,Education,4,8.1,10.0
1494,Brian Lawrence,15,Other,South Jasonmouth,10th,4.1,6.7,61,6,0.3,1,6,9,1,1.1,99,8,2.7,1.7,0.3,Education,1,2.1,8.7
1495,Paul Hernandez,13,Other,Richardsville,11th,5.7,8.8,85,1,1.6,8,3,7,1,0.8,26,5,0.3,0.6,0.9,Other,5,9.1,3.7
1496,Misty Wilson,14,Other,North Leslie,8th,3.6,8.0,65,0,1.3,10,10,5,1,1.2,105,17,1.7,2.0,2.2,Education,9,6.5,8.8
1497,Beth Price,16,Female,Shawnfurt,8th,2.5,8.1,75,8,0.0,4,2,2,1,0.8,34,7,4.3,4.0,0.0,Education,4,8.4,8.8
1498,Kristie Williams,17,Other,East Brandon,11th,3.2,8.6,89,3,2.1,9,7,9,1,0.9,99,14,3.6,1.1,1.3,Other,1,6.5,8.4
1499,William Cervantes,15,Female,Hillfort,12th,5.2,8.2,56,0,1.9,9,10,6,1,0.0,144,15,1.7,1.0,1.2,Gaming,7,9.0,9.7
1500,Debra Owen,19,Male,Nicoletown,10th,2.6,7.5,83,10,1.4,10,9,7,1,0.5,24,5,2.5,1.1,0.5,Education,2,6.5,3.9
1501,Billy Baker,15,Other,Deleonberg,8th,5.4,7.0,73,2,0.5,3,3,10,0,0.8,113,13,3.3,0.5,2.4,Social Media,1,9.9,10.0
1502,Susan Mcintosh,18,Other,Bakerland,8th,1.9,7.3,97,8,1.0,4,5,8,1,0.8,139,17,1.7,1.9,1.5,Gaming,3,4.1,8.0
1503,Kevin Perkins,15,Female,West Angela,7th,2.4,6.1,98,10,0.0,8,7,10,1,0.9,128,8,3.4,0.3,1.4,Browsing,4,3.0,7.2
1504,Jill Maxwell,19,Male,East Traceyville,11th,5.4,6.0,98,2,0.4,9,8,6,1,1.2,25,9,3.8,1.8,1.1,Browsing,2,4.3,10.0
1505,Jennifer Rosales,17,Other,Allenside,11th,6.6,5.9,91,4,1.2,8,10,3,1,1.9,110,18,2.3,0.9,1.4,Social Media,9,5.2,10.0
1506,Jamie Munoz,19,Male,East Courtneyshire,7th,5.6,9.0,63,5,1.2,7,9,6,1,1.2,68,10,2.7,2.9,2.2,Social Media,1,5.7,10.0
1507,Amanda Callahan,13,Female,South Stanley,11th,6.3,6.3,72,1,0.0,7,8,8,1,0.8,38,9,2.9,0.8,0.7,Browsing,7,4.8,9.4
1508,Ian Taylor,18,Male,Castromouth,11th,7.2,6.4,62,6,1.2,2,9,2,0,1.1,108,6,2.6,1.5,0.5,Browsing,10,7.5,10.0
1509,Theresa Avery,16,Male,Robertland,7th,3.2,3.1,90,1,0.8,8,6,7,1,1.2,76,8,3.9,2.6,0.5,Other,5,2.5,10.0
1510,Jared Green,15,Male,North Amy,10th,0.0,6.9,88,4,0.1,8,6,7,0,0.8,107,12,3.9,2.8,0.7,Social Media,4,7.6,7.8
1511,James Scott,14,Male,Marystad,8th,6.0,8.5,67,9,0.9,4,7,8,0,1.0,144,16,2.0,2.0,1.5,Gaming,2,4.2,10.0
1512,Thomas Osborne,17,Female,Schneiderstad,9th,5.5,5.8,54,8,0.8,4,7,1,1,1.3,54,13,1.5,1.7,1.0,Browsing,4,4.0,9.5
1513,John Haynes,13,Male,Waynestad,9th,8.9,7.0,90,0,0.6,4,9,3,1,1.0,110,10,3.4,0.8,1.2,Browsing,2,5.8,10.0
1514,Amanda Gomez,13,Female,Port Patrickfurt,8th,5.0,6.0,90,8,1.7,10,7,1,1,0.3,29,7,2.4,0.8,2.1,Social Media,1,7.7,7.2
1515,Wesley Carey,19,Male,West Sarah,7th,4.1,6.9,92,5,0.8,1,2,6,1,1.8,39,13,1.5,3.2,1.4,Gaming,3,5.5,8.7
1516,Cynthia Sawyer,15,Female,Lesterside,8th,0.9,5.8,92,8,1.2,8,1,1,1,1.5,119,14,2.6,1.9,0.0,Education,7,8.3,7.7
1517,Kathleen Shelton,18,Other,South Robyn,7th,3.7,7.4,54,7,0.2,8,7,7,0,0.5,21,19,3.0,0.7,0.3,Education,4,6.1,7.9
1518,Neil Price,17,Female,South Melanieberg,8th,5.1,5.0,82,5,1.9,7,1,3,0,0.9,63,18,1.9,2.4,0.4,Education,10,7.1,10.0
1519,David Wall,18,Other,Jamesmouth,12th,4.6,3.0,72,2,0.0,8,4,7,1,1.5,43,10,4.9,2.2,1.0,Browsing,9,6.0,10.0
1520,Jordan Wolfe,16,Male,Port Samanthastad,7th,3.0,6.3,92,6,1.2,5,1,10,1,0.7,113,11,1.9,0.7,1.1,Gaming,5,9.2,6.9
1521,Cindy Ortega,15,Female,Luisstad,8th,5.1,7.1,71,4,1.4,6,9,10,0,1.6,146,9,1.6,3.3,0.5,Browsing,3,3.0,10.0
1522,Stanley Fry,19,Female,West Jeffery,10th,5.5,3.1,90,6,0.9,8,3,4,1,1.7,57,12,2.0,0.5,1.1,Social Media,6,2.5,10.0
1523,Angel Flores,19,Male,Daniellehaven,11th,3.5,5.5,62,3,1.2,10,10,2,1,0.5,47,17,1.9,0.5,0.4,Education,2,7.1,7.5
1524,Christine Ramsey DVM,16,Female,East Robert,7th,6.1,7.5,88,9,1.6,9,8,3,0,0.0,66,20,3.5,1.6,1.7,Browsing,10,7.6,10.0
1525,Jessica Lewis,18,Female,East John,12th,7.1,6.4,64,9,0.1,5,5,10,0,1.3,54,15,1.9,1.8,0.8,Gaming,2,4.8,10.0
1526,Ricardo Hayden,15,Other,Sarahshire,8th,7.7,6.5,64,7,0.1,3,10,7,0,0.2,76,5,2.4,0.3,1.3,Social Media,5,4.5,9.7
1527,Olivia Contreras,18,Female,Jacksonfort,8th,4.7,8.3,91,3,2.2,7,6,6,1,1.3,134,18,0.8,0.7,0.8,Gaming,3,7.3,8.3
1528,Kimberly Young,14,Female,North Mary,10th,3.7,6.2,77,2,2.2,8,8,8,1,1.1,94,14,1.4,0.5,1.3,Other,7,4.7,7.2
1529,Brian Whitaker,19,Female,New Josephberg,10th,2.5,5.6,67,0,2.0,1,8,1,0,0.5,113,11,3.0,2.2,2.6,Browsing,3,7.8,9.4
1530,Brenda Brown,17,Female,Port Elizabeth,7th,1.6,6.4,55,10,0.5,8,9,10,1,0.3,92,16,3.4,1.7,1.5,Education,2,3.5,8.5
1531,Paul Huynh,16,Other,East Kelly,10th,6.2,10.0,74,0,1.8,4,2,4,1,0.5,134,18,0.8,1.6,0.6,Social Media,10,7.4,9.9
1532,Susan Maddox,13,Other,West Paul,8th,2.6,6.7,82,1,1.9,4,2,2,0,2.4,98,14,1.5,0.0,0.4,Social Media,3,7.2,5.5
1533,Steven Cook,17,Female,Gillview,12th,4.9,5.4,89,5,0.2,5,9,9,1,0.6,67,9,3.9,0.9,1.4,Browsing,8,7.3,10.0
1534,Eric Davis,18,Female,Lake Dillon,11th,5.6,6.3,95,2,0.6,4,1,2,1,1.1,52,17,0.7,0.5,0.4,Education,4,7.9,8.1
1535,Victoria Wu,18,Female,Karenbury,7th,6.2,7.3,98,8,1.5,5,9,5,0,0.9,36,7,2.8,3.0,1.7,Gaming,5,9.3,10.0
1536,Denise Maldonado MD,16,Female,Lake Francesview,12th,0.9,5.5,63,3,0.9,4,9,6,1,0.8,134,10,1.5,1.8,0.4,Browsing,5,6.5,6.1
1537,Tommy Marshall,17,Male,Wendytown,11th,0.0,7.1,85,3,0.0,8,4,10,0,0.7,99,15,1.9,1.7,0.8,Browsing,4,5.3,5.0
1538,Angela Stewart,14,Male,North Troy,10th,2.4,5.2,86,4,0.8,4,6,3,0,0.8,96,13,2.1,3.7,0.5,Education,5,11.2,10.0
1539,Melissa Ortega,13,Male,Marissaburgh,8th,3.1,7.7,80,8,0.6,3,4,5,1,1.7,127,5,5.0,0.9,1.3,Browsing,5,5.3,8.7
